CLUB,STATUS,MATCHED_NAME,LEAGUE,SQUAD_MARKET_VALUE_M_EUR,CLUB_URL
Celta de Vigo,OK,Celta de Vigo,LaLiga,173.0,https://www.transfermarkt.com/celta-vigo/startseite/verein/940
Chelsea FC,OK,Chelsea FC,Premier League,1080.0,https://www.transfermarkt.com/fc-chelsea/startseite/verein/631
Como 1907,OK,Como 1907,Serie A,535.15,https://www.transfermarkt.com/como-1907/startseite/verein/1047
Crystal Palace,OK,Crystal Palace,Premier League,579.2,https://www.transfermarkt.com/crystal-palace/startseite/verein/873
Deportivo A Coruña,OK,Deportivo A Coruña,LaLiga,115.15,https://www.transfermarkt.com/deportivo-la-coruna/startseite/verein/897
Eintracht Frankfurt,OK,Eintracht Frankfurt,Bundesliga,288.65,https://www.transfermarkt.com/eintracht-frankfurt/startseite/verein/24
Everton FC,OK,Everton FC,Premier League,394.3,https://www.transfermarkt.com/fc-everton/startseite/verein/29
FC Augsburg,OK,FC Augsburg,Bundesliga,172.0,https://www.transfermarkt.com/fc-augsburg/startseite/verein/167
FC Barcelona,OK,FC Barcelona,LaLiga,1260.0,https://www.transfermarkt.com/fc-barcelona/startseite/verein/131
Fulham FC,OK,Fulham FC,Premier League,396.8,https://www.transfermarkt.com/fc-fulham/startseite/verein/931
Inter Milan,OK,Inter Milan,Serie A,730.3,https://www.transfermarkt.com/inter-mailand/startseite/verein/46
Ipswich Town,OK,Ipswich Town,Premier League,330.55,https://www.transfermarkt.com/ipswich-town/startseite/verein/677
Juventus FC,OK,Juventus FC,Serie A,618.7,https://www.transfermarkt.com/juventus-turin/startseite/verein/506
LOSC Lille,OK,LOSC Lille,Ligue 1,240.1,https://www.transfermarkt.com/losc-lille/startseite/verein/1082
Leeds United,OK,Leeds United,Premier League,407.55,https://www.transfermarkt.com/leeds-united/startseite/verein/399
Liverpool FC,OK,Liverpool FC,Premier League,1030.0,https://www.transfermarkt.com/fc-liverpool/startseite/verein/31
Manchester City,OK,Manchester City,Premier League,1430.0,https://www.transfermarkt.com/manchester-city/startseite/verein/281
Manchester United,OK,Manchester United,Premier League,922.8,https://www.transfermarkt.com/manchester-united/startseite/verein/985
